`0x43001160`; `Sound Options`
`0x430039bc`; `Weaponized Saberling Extractor Fan: <TEB 1124091128>. Its air current can be used to access otherwise unreachable places but be careful to avoid contact with its blades. It can be disrupted by most weapons to temporarily stop the air flow.`
`0x430039bd`; `Weaponized Saberling Fire Extinguisher: <TEB 1124091129>. Although no longer interested in putting out fires, this pyromaniac can sometimes be tricked into melting ice barriers with careful luring.`
`0x430039be`; `Weaponized Saberling Vacuum Cleaner: <TEB 1124091129>. Their ability to seek out and use small appliances  as weapons can make for unpredictable encounters.`
`0x430039bf`; `Saberling Soda Cooler: <TEB 1124091129>. Although an energy shield protects most of its body from damage, shooting out its jet thrusters will disable the shield and bring this enemy crashing to the ground. `
`0x430039c0`; `Weaponized Saberling Soda Cooler: <TEB 1124091129>. Although an energy shield protects most of its body from damage, shooting out its jet thrusters will disable the shield and bring this enemy crashing to the ground. `
`0x430039c1`; `Weaponized Saberling Cordless Headphones: <TEB 1124091129>. Surprisingly fast, these vicious pack hunters can prove deadly when met in large numbers.`
`0x430039c2`; `Weaponized Saberling Steam Iron: <TEB 1124091129>. Heavy iron armour can make this enemy quite tough to conquer, but it can be damaged by attacking its vulnerable interior when its plates are open.`
`0x430039c3`; `Weaponized Saberling Microwave Oven: Resistant to most damage, but it will overload its circuits if an explosive object is thrown inside it whilst its door is open.`
`0x430039c4`; `Saberling Insect Zapper: <TEB 1124091127>. Its ultra-violet radiation field is hazardous to insects.`
`0x430039c5`; `Weaponized Saberling Motion Sensor: <TEB 1124091128>. Its deadly laser blast can cut through all known types of energy shield, and will even destroy wooden doors; however the laser will bounce off glass surfaces.`
`0x430039c6`; `Weaponized Saberling Optical Mouse: <TEB 1124091129>. Despite their small size, these vermin can close in fast to strike with their electrified whips.`
`0x430039c7`; `Weaponized Saberling Paper Shredder: <TEB 1124091127>. The ultimate security guard. Shielded from most damage sources, it can only be destroyed by a motion sensor laser.`
`0x430039c8`; `Saberling Radio Clock: <TEB 1124091129>. These sinister floating creatures can wake up sleeping appliances and will even break containers to unleash new enemies.`
`0x430039c9`; `Weaponized Saberling Radio Alarm Clock: <TEB 1124091129>. These sinister floating creatures can wake up sleeping appliances and will even break containers to unleash new enemies.`
`0x430039ca`; `Weaponized Saberling Satellite Dish: <TEB 1124091132>. Creates an inpenetrable barrier to block off areas or protect other enemies.`
`0x430039cb`; `Weaponized Saberling Security Door: <TEB 1124091127>. Use Mooch to bypass the fast-moving jaws. Mechanism can be disabled by activating the door switch.`
`0x430039cc`; `Weaponized Saberling Ceiling-Mounted Speaker: Acts as a fixed-position target for the Magnetic Grapple.`
`0x430039cd`; `Weaponized Saberling Wall-Mounted Speaker: <TEB 1124091128>. Acts as a moving target for the Magnetic Grapple.`
`0x430039ce`; `Weaponized Saberling Table Lamp: <TEB 1124091128>. Although it often behaves as a troop transport for hostile appliances, by grabbing its dangling power cord you can trick this enemy into carrying you to otherwise unreachable places.`
`0x430039cf`; `Weaponized Saberling Toaster: <TEB 1124091129>. This scuttling enemy can close in rapidly on an unprepared victim. Its glowing hot filaments must be avoided at all costs.`
`0x430039d0`; `Weaponized Saberling Torch: <TEB 1124091129>. It deploys electrical mines to blanket the area with a deadly EMP field, but its homing missiles can be lured to strike other targets.`
`0x430039d1`; `Weaponized Saberling Automated Vacuum Cleaner: <TEB 1124091127>. This guard keeps its territory clean from unwanted intruders. Protected by an energy shield, it can only be destroyed by a motion sensor laser.`
`0x430039d2`; `Weaponized Saberling Waffle Maker: <TEB 1124091129>. Little more than a set of snapping jaws, a horde of these mindless kitchen appliances can soon overwhelm their prey.`
`0x430039d3`; `Weaponized Saberling Water Cooler: <TEB 1124091129>. Its protective energy shield cannot cover its hot water container, indicating a possible weakpoint.`
`0x430039d4`; `Weaponized Saberling Personal Computer: <TEB 1124091129>. This "zombie computer" can only be damaged by attacking its vulnerable interior. Wait for it to spawn CPU Fans, then move in to strike its weakpoint.`
`0x430039dd`; `Use the Cargo Transport`
`0x430039de`; `Juarez has opened access to the cargo transport system – use them to quickly access the monorail stations.`
`0x430039df`; `Access the Control Room `
`0x430039e0`; `The door to where Hurley is trapped is locked. Find a way into the control room on the upper floor to open it.`
`0x430039e5`; `Overload Clusterstorm’s Defenses `
`0x430039e6`; `Fill the power core sockets to overload Clusterstorm’s defense system. This should give the team enough time to take control of Yanshu’s satellite weapon.`
`0x430039eb`; `Use <SB 1074266172> to steer. Press <SB 1074266113> to jump.`
`0x430039ec`; `Use <SB 1074266130> to aim. Press <SB 1074266184> to fire the Pulse Cannon. Hold <SB 1074266185> and paint over targets then release to fire Homing Missiles.`
`0x43003a0c`; `Stay out of sight of the guards and head towards the objective.`
`0x43003a0d`; `Press  <SB 1074266141> to view the map screen and help you find your objective.`
`0x43003a0f`; `Press <SB 1074266144> to select the Saberlizer. Hold <SB 1074266169> to aim and enter scanning vision.`
`0x43003a17`; `Use <SB 1074266172> to climb up and down the pipe. Press <SB 1074266122> to drop from the pipe or hold <SB 1074266113> to jetpack from the pipe at any time.`
`0x43003a25`; `Use  <SB 1074266172> to move. Use the Wii Remote to aim.`
`0x43003a2f`; `Vent covers can be destroyed using the Plasma Gun.`
`0x43003a30`; `Press <SB 1074266143> to equip the Plasma Gun.`
`0x43003a32`; `Hold <SB 1074266169> to aim. Press <SB 1074266153> to shoot while aiming.`
`0x43003a34`; `Weak Container: Container has minimal structural strength and can be destoyed by any type of attack.`
`0x43003a35`; `Strong Container: Container has high structural strength but lid can be opened with any type of attack.`
`0x43003a36`; `Vent Cover (Destroyed): This weak metal cover has been destroyed.`
`0x43003a37`; `Scan`
`0x43003a38`; `CLOSING...`
`0x43003a39`; `LOCKED`
`0x43003a3a`; `MALFUNCTION`
`0x43003a3b`; `NO POWER`
`0x43003a3c`; `OPENING...`
`0x43003a3d`; `SEALED`
`0x43003a3e`; `OPEN: AUTOMATIC`
`0x43003a4c`; `Lock onto enemies by holding <SB 1074266116>`
`0x43003a4e`; `Press <SB 1074266114> to attack with the Electro-Whip.`
`0x43003a50`; `While locked, move and press <SB 1074266113> to dodge or flip.`
`0x43003a52`; `Press <SB 1074266114> to attack with the Electro-Whip and destroy objects.`
`0x43003a54`; `Power Core Generator`
`0x43003a55`; `Power Core Socket`
`0x43003a56`; `UNUSED Door Locked: The door is locked but can be opened by a panel on one side.`
`0x43003a57`; `Dash`
`0x43003a58`; `Slow Time`
`0x43003a5b`; `Press <SB 1074266144> to select the Saberlizer. Hold <SB 1074266169> to aim and enter scanning vision.`
`0x43003a5d`; `Use <SB 1074266130> to select an object and hold <SB 1074266163> to perform a scan.`
`0x43003a5e`; `Use the Wii Remote to select an object and hold <SB 1074266163> to perform a scan.`
`0x43003a62`; `Scanning vision also shows the location and distance to your current mission objective.`
`0x43003a68`; `Help Log`
`0x43003a69`; `view floors`
`0x43003a6a`; `pan`
`0x43003a6b`; `zoom`
`0x43003a6c`; `Map Overview`
`0x43003a6d`; `Missions`
`0x43003a6e`; `Escape`
`0x43003a74`; `Shooting Saberling appliances with the Saberlizer will cause them to transform but will not cause any damage.`
`0x43003a75`; `Press  <SB 1074266144> to select the Saberlizer. Shoot the extractor fan with the Saberlizer <IM 100664183>`
`0x43003a76`; `Press <SB HT_ActionButton_Zoom> to toggle the zoom function for more accurate aiming.`
`0x43003a77`; `Use the vortex from the ceiling fan to reach the upper level.`
`0x43003a78`; `"Saberlizing" appliances can often help you complete your mission objectives. However, this can also create dangers so be careful!`
`0x43003a79`; `New Objective`
`0x43003a7d`; `Activate the Terminal`
`0x43003a7e`; `Get through the Frozen Offices`
`0x43003a7f`; `Destroy the Satellite Dish`
`0x43003a80`; `Gain Entry`
`0x43003a81`; `Reach the Exterior`
`0x43003a82`; `Retrieve the Keycard`
`0x43003a83`; `Use a motion sensor to activate this terminal, and gain entrance to the security office.`
`0x43003a84`; `These offices are frozen solid, you need to find a way out before the temperature drops any lower.`
`0x43003a85`; `The satellite dish is blocking your path and must be destroyed.`
`0x43003a86`; `Gain entrance to the floor below, the high tech crimes labs are somewhere on this level.`
`0x43003a87`; `Get to Saber fast - use an office to access the exterior of the building.`
`0x43003a88`; `Retrieve a keycard from the security office to access the High Tech Crimes lab.`
`0x43003a8c`; `Flying Egg Fan`
`0x43003a8d`; `Weaponized Flying Egg Fan`
`0x43003a8e`; `Whiteroom: Tutorial`
`0x43003a8f`; `Door Active (Exit): The door can be unlocked using the nearby panel. Scan indicates exit on the other side.`
`0x43003a90`; `Door Active (Store Room): The door can be unlocked using the nearby panel. Scan indicates a small storage room on the other side.`
`0x43003a91`; `Door Sealed: The door is locked and sealed. It cannot be opened.`
`0x43003a92`; `Press <SB 1074266113> to jump then go through the exit.`
`0x43003a94`; `Press <SB 1074266113> in mid-air to double-jump then go through the exit.`
`0x43003a96`; `Press and hold <SB 1074266113> to hover (don’t do the vertical boost just yet...)`
`0x43003a98`; `Hover then quickly release and re-press <SB 1074266113> to boost vertically.`
`0x43003a9a`; `Hold <SB 1074266169> to aim. Press <SB 1074266153> to shoot while aiming.`
`0x43003a9c`; `Hold <SB 1074266169> to aim.`
`0x43003a9e`; `Press  <SB 1074266114> to attack with the Electro-Whip.`
`0x43003aa0`; `Hold  <SB 1074266116> to lock onto enemies.`
`0x43003aa6`; `Press  <SB 1074266159> to deploy Mooch.`
`0x43003aa8`; `Fly Mooch through the vent.`
`0x43003aaa`; `Use  <SB 1074266172> to move. Use <SB 1074266173> to aim.`
`0x43003aab`; `Hold  <SB 1074266149> to fire the interference beam and activate the switch.`
`0x43003aad`; `Press  <SB 1074266160> to return to Darwin.`
`0x43003ab1`; `Hold <SB 1074266169> to aim. Aim at an object and hold  <SB 1074266163> to scan it.`
`0x43003ab3`; `Press  <SB 1074266144> to select the Saberlizer.`
`0x43003ab4`; `Scanning can also show you appliances that can be transformed by the Saberlizer.`
`0x43003ab6`; `Press  <SB 1074266153> while aiming to fire the Saberlizer. It will activate but the Saberlizer does not cause any damage.`
`0x43003ab7`; `Use the vortex from the ceiling fan to reach the vent.`
`0x43003ab8`; `Hold  <SB 1074266113> to hover out of the vortex before you are damaged by the ceiling fan.`
`0x43003abb`; `The door is sealed, look around for something to Saberlize.`
`0x43003abc`; `Lure the motion sensor laser into shooting the door but be careful to avoid the laser once it turns red.`
`0x43003abd`; `These Security Doors can be bypassed using Mooch.`
`0x43003abe`; `Hold  <SB 1074266121> to slow time and get past fast moving hazards.`
`0x43003ac3`; `EXIT`
`0x43003ac4`; `Lever: Activates remote devices when pulled. Returns to original position over time.`
`0x43003ac5`; `Server Socket: Interfaces with devices providing access to the secure server. `
`0x43003ac6`; `WiFi Transmitter: Produces a WiFi signal that can be used to hack into the server remotely. `
`0x43003ac7`; `KEYCARD REQUIRED`
`0x43003ac8`; `UNLOCKED`
`0x43003ac9`; `SCAN COMPLETE`
`0x43003aca`; `HOLOGRAPHIC SCANNER READY...`
`0x43003acb`; `SCANNING...`
`0x43003ad3`; `Exit Point`
`0x43003ad4`; `Use the door to exit from this area.`
`0x43003ad5`; `OBJECTIVE`
`0x43003ad6`; `OBJECTIVE`
`0x43003ada`; `DANGER`
`0x43003adb`; `Thank you for completing G-Force Team Training`
`0x43003adc`; `Welcome to G-Force Team Training`
`0x43003add`; `Hold  <SB 1074266120> to sprint.`
`0x43003ae1`; `Obtain Elevator Keycard`
`0x43003ae2`; `An elevator keycard is required to gain access to the Computer Center`
`0x43003ae3`; `Congratulations! You have completed the G-Force Team Challenge.`
`0x43003ae7`; `WINNER!`
`0x43003b05`; `Alternate Route to Elevators`
`0x43003b06`; `The path to the elevators is blocked. Juarez has found an alternative route through the toilets.`
`0x43003b07`; `Purchase the FlameThrower`
`0x43003b08`; `Use the gold data disk to purchase the Flame Thrower from the kiosk.`
`0x43003b09`; `Create New`
`0x43003b0a`; `Empty`
`0x43003b0b`; `Load Game`
`0x43003b0c`; `New Game`
`0x43003b0d`; `Save Game`
`0x43003b0e`; `Create New Save`
`0x43003b0f`; `This data was saved by G-Force`
`0x43003b10`; `G-Force Savedata`
`0x43003b11`; `Loading...`
`0x43003b12`; `Saving...`
`0x43003b1d`; `Options`
`0x43003b1e`; `Exit Menu`
`0x43003b1f`; `Pause Menu`
`0x43003b20`; `Security Door`
`0x43003b21`; `Juarez suggests trying the Saberlizer on the Saberling Security Door.`
`0x43003b22`; `Route to Blueprints`
`0x43003b23`; `Speckles has found a shorter way to the location of the speaker blueprints.`
`0x43003b24`; `Press and hold <SB 1074266113> to hover.`
`0x43003b2b`; `Silver Data Disk`
`0x43003b2c`; `A silver data disk containing design schematics which will unlock a new upgrade for purchase at vending kiosks.`
`0x43003b2d`; `Silver Data Disk: A silver data disk containing design schematics which will unlock a new upgrade for purchase at vending kiosks.`
`0x43003b2e`; `Music Volume`
`0x43003b2f`; `Sound FX Volume`
`0x43003b30`; `Speech Volume`
`0x43003b31`; `Subtitles`
`0x43003b32`; `Audio`
`0x43003b33`; `Invert Horizontal Axis`
`0x43003b34`; `Invert Vertical Axis (normal)`
`0x43003b35`; `Invert Vertical Axis (combat)`
`0x43003b36`; `Control Layout`
`0x43003b37`; `Rumble`
`0x43003b38`; `Controls`
`0x43003b39`; `3D`
`0x43003b3a`; `Display`
`0x43003b3b`; `Widescreen`
`0x43003b3c`; `Display Control Hints`
`0x43003b3d`; `Gameplay`
`0x43003b3e`; `Select Level`
`0x43003b3f`; `Quit Game`
`0x43003b40`; `KEYCARD REQUIRED`
`0x43003b41`; `POWER SOURCE REQUIRED`
`0x43003b42`; `TURN FOR MANUAL OVERRIDE`
`0x43003b43`; `To use a zip-line simply stand underneath and jump up to grab the handle.`
`0x43003c8f`; `Ammo: Cluster Cell`
`0x43003c90`; `Cluster Cells provide ammunition for the Cluster Rifle`
`0x43003c91`; `Keycard: Use with a Keycard Reader to unlock secure areas.`
`0x43003c92`; `Keycard Reader: Locking mechanism used to secure sensitive areas. Keycard is required to unlock nearby door.`
`0x43003c9b`; `INACTIVE`
`0x43003c9c`; `NO ENTRY`
`0x43003c9d`; `Holographic Scanner: Use to generate a Holo-disk that can create a holographic replica of Darwin.`
`0x43003c9e`; `Laser Optic Switch: Fibre optic switch that responds to laser energy. Will power up nearby terminals when active.`
`0x43003c9f`; `Load Previous Level`
`0x43003ca0`; `G-Force`
`0x43003ca9`; `Use Gamepad`
`0x43003caa`; `Invert Horizontal Axis (combat)`
`0x43003cab`; `Swap A and B Buttons`
`0x43003cac`; `Resolution`
`0x43003caf`; `Gold Data Disk`
`0x43003cb0`; `A gold data disk containing design schematics which will unlock a new weapon for purchase at vending kiosks.`
`0x43003cb1`; `Gold Data Disk: A gold data disk containing design schematics which will unlock a new weapon for purchase at vending kiosks.`
`0x43003cb9`; `Elevator to Office Complex`
`0x43003cba`; `Use the elevator to travel back up to the Saberling office complex.`
`0x43003cd4`; `Cluster Rifle Ammo Upgrade`
`0x43003cd5`; `Upgrade to ammunition capacity of the Cluster Rifle`
`0x43003cd6`; `Shot Bolter Ammo Upgrade`
`0x43003cd7`; `Upgrade to ammunition capacity of the Shot Bolter`
`0x43003cd8`; `Flame Thrower Ammo Upgrade`
`0x43003cd9`; `Upgrade to ammunition capacity of the Flame Thrower`
`0x43003cda`; `Freeze Gun Ammo Upgrade`
`0x43003cdb`; `Upgrade to ammunition capacity of the Freeze Gun`
`0x43003cdc`; `NanoHacker Ammo Upgrade`
`0x43003cdd`; `Upgrade to ammunition capacity of the NanoHacker`
`0x43003cde`; `Plasma Gun Ammo Upgrade`
`0x43003cdf`; `Upgrade to ammunition capacity of the Plasma Gun`
`0x43003ce0`; `Health Upgrade (Darwin)`
`0x43003ce1`; `Upgrade to Darwin's maximum health capacity`
`0x43003ce2`; `Health Upgrade (Mooch)`
`0x43003ce3`; `Upgrade to Mooch's maximum health capacity`
`0x43003ce4`; `Mooch Transmitter`
`0x43003ce5`; `Upgrade to the length of time Mooch can be deployed`
`0x43003ce6`; `Map Data`
`0x43003ce7`; `Silver Data Disk Map`
`0x43003ce8`; `Locations of all Silver Data Disks in your current location: "Saber Mansion"`
`0x43003ce9`; `Locations of all Silver Data Disks in your current location: "Saber Mansion"`
`0x43003cea`; `Locations of all Silver Data Disks in your current location: "Saberling Complex Basement"`
`0x43003ceb`; `Locations of all Silver Data Disks in your current location: "Saberling Design Offices"`
`0x43003cec`; `Locations of all Silver Data Disks in your current location: "Saberling Offices & Computer Center"`
`0x43003ced`; `Locations of all Silver Data Disks in your current location: "Saberling Computer Center"`
`0x43003cee`; `Locations of all Silver Data Disks in your current location: "Packing & Shipping"`
`0x43003cef`; `Locations of all Silver Data Disks in your current location: "Assembly Lines"`
`0x43003cf0`; `Locations of all Silver Data Disks in your current location: "Chip Manufacturing"`
`0x43003cf1`; `Locations of all Silver Data Disks in your current location: "Power Generator"`
`0x43003cf2`; `Locations of all Silver Data Disks in your current location: "Machine Processing"`
`0x43003cf3`; `Locations of all Silver Data Disks in your current location: "FBI HQ"`
`0x43003cf4`; `Locations of all Silver Data Disks in your current location: "FBI Special Victims Unit & Forensics"`
`0x43003cf5`; `Locations of all Silver Data Disks in your current location: "FBI Cybercrime & Computer Labs"`
`0x43003cf6`; `Locations of all Silver Data Disks in your current location: "FBI Armory & Training"`
`0x43003cf7`; `Locations of all Silver Data Disks in your current location: "FBI Rooftop & Heli-pad"`
`0x43003cf8`; `Locations of all Silver Data Disks in your current location: "Satellite Center Basement"`
`0x43003cf9`; `Locations of all Silver Data Disks in your current location: "Satellite Security"`
`0x43003cfa`; `Locations of all Silver Data Disks in your current location: "Satellite Dish"`
`0x43003cfb`; `Locations of all Silver Data Disks in your current location: "Satellite Control Area"`
`0x43003cfc`; `Locations of all Silver Data Disks in your current location: "Clusterstorm"`
`0x43003cfd`; `Detailed plans of your current location: "Saber Mansion"`
`0x43003cfe`; `Detailed plans of your current location: "Saber Mansion"`
`0x43003cff`; `Detailed plans of your current location: "Saberling Complex Basement"`
`0x43003d00`; `Detailed plans of your current location: "Saberling Design Offices"`
`0x43003d01`; `Detailed plans of your current location: "Saberling Offices & Computer Center"`
`0x43003d02`; `Detailed plans of your current location: "Saberling Computer Center"`
`0x43003d03`; `Detailed plans of your current location: "Packing & Shipping"`
`0x43003d04`; `Detailed plans of your current location: "Assembly Lines"`
`0x43003d05`; `Detailed plans of your current location: "Chip Manufacturing"`
`0x43003d06`; `Detailed plans of your current location: "Power Generator"`
`0x43003d07`; `Detailed plans of your current location: "Machine Processing"`
`0x43003d08`; `Detailed plans of your current location: "FBI HQ"`
`0x43003d09`; `Detailed plans of your current location: "FBI Special Victims Unit & Forensics"`
`0x43003d0a`; `Detailed plans of your current location: "FBI Cybercrime & Computer Labs"`
`0x43003d0b`; `Detailed plans of your current location: "FBI Armory & Training"`
`0x43003d0c`; `Detailed plans of your current location: "FBI Rooftop & Heli-pad"`
`0x43003d0d`; `Detailed plans of your current location: "Satellite Center Basement"`
`0x43003d0e`; `Detailed plans of your current location: "Satellite Security"`
`0x43003d0f`; `Detailed plans of your current location: "Satellite Dish"`
`0x43003d10`; `Detailed plans of your current location: "Satellite Control Area"`
`0x43003d11`; `Detailed plans of your current location: "Clusterstorm"`
`0x43003d12`; `Wi-Fi ACTIVE`
`0x43003d13`; `Wi-Fi INACTIVE`
`0x43003d14`; `Carry`
`0x43003d15`; `Garbage Chute: PULL`
`0x43003d16`; `Climate Control: COLD`
`0x43003d17`; `Climate Control: HOT`
`0x43003d18`; `Investigate Power Loss`
`0x43003d19`; `Find out why the control room has no power.`
`0x43003d1a`; `Use the emergency hatch to return to the control center.`
`0x43003d1b`; `New Upgrade Available!`
`0x43003d1c`; `New Weapon Available!`
`0x43003d1d`; `Cluster Rifle v2`
`0x43003d1e`; `Rapid fire plasma weapon with power attack function.`
`0x43003d1f`; `NanoHacker v2`
`0x43003d20`; `Uses nanotechnology to temporarily reprogram an enemy's SaberSense chip and turn them into your ally. Also effective on invulnerable enemies.`
`0x43003d21`; `Electro-Whip v2`
`0x43003d22`; `Short range electrical whip with attraction function and power attack.`
`0x43003d23`; `Map not available`
`0x43003d41`; `Use the Elevator`
`0x43003d42`; `Saber is on the upper floors of the building. Use the elevator to get to him.`
`0x43003d43`; `Ammo`
`0x43003d44`; `Health`
`0x43003d45`; `Kiosk`
`0x43003d46`; `Ammo Capacity`
`0x43003d47`; `Weapons and Upgrades`
`0x43003d48`; `Vending Kiosk: This machine can be used to buy ammunition, health, map data, upgrades and new weapons.`
`0x43003d49`; `Save Station: This machine can be used to save your progress.`
`0x43003d4c`; `Terminal (Awaiting Input): This terminal is active and can be used when standing close.`
`0x43003d4d`; `Terminal (Closed): This terminal has already been used and is no longer active.`
`0x43003d4e`; `Terminal AWAITING INPUT`
`0x43003d4f`; `Terminal CLOSED`
`0x43003d50`; `Hold <SB 1074266114> while facing the keycard to attract and carry it.`
`0x43003d51`; `Face the keycard reader and then press <SB 1074266114> to throw the keycard into it when the icon appears.`
`0x43003d52`; `Rescue Blaster!`
`0x43003d53`; `The Cluster Rifle is now available at the vending kiosk!`
`0x43003d54`; `The Cluster Rifle v2 is now available at the vending kiosk!`
`0x43003d55`; `The Shot Bolter is now available at the vending kiosk!`
`0x43003d56`; `The Electro-Whip Power Attack is now available at the vending kiosk!`
`0x43003d57`; `The Flame Thrower is now available at the vending kiosk!`
`0x43003d58`; `The Freeze Gun is now available at the vending kiosk!`
`0x43003d59`; `The NanoHacker is now available at the vending kiosk!`
`0x43003d5a`; `The NanoHacker v2 is now available at the vending kiosk!`
`0x43003d5b`; `Comm check. Agent Darwin, do you read me?`
`0x43003d5c`; `Reading you loud and clear Ben.`
`0x43003d5d`; `Excellent, let’s begin. I’ll be monitoring you throughout this training session but your PDA will provide you with all the information you’ll need. When you’re in the field it will be a vital piece of your mission equipment.`
`0x43003d5e`; `This is your PDA. It will provide important mission information throughout the game.`
`0x43003d5f`; `When you’re ready head through the exit door to begin.`
`0x43003d60`; `BEGIN`
`0x43003d61`; `Back`
`0x43003d62`; `Buy`
`0x43003d66`; `Obtain Flame Thrower Disk`
`0x43003d67`; `Juarez has found a gold data disk with blueprints for a Flame Thrower weapon in the Armory. Use this to melt the ice barriers in the area.`
`0x43003d68`; `Easy`
`0x43003d69`; `Challenging`
`0x43003d6a`; `Normal`
`0x43003d6b`; `Select your difficulty:`
`0x43003d6c`; `Gamma`
`0x43003d7a`; `Obtain Gold Data Disk`
`0x43003d7b`; `Get the 3 power cores needed to open the locking mechanism and retrieve the gold data disk.`
`0x43003d83`; `Free the Vacuum`
`0x43003d84`; `Free the vacuum from the frozen storage cupboard to gain access to the directors office.`
`0x43003d85`; `Retrieve the Keycard`
`0x43003d86`; `Retrieve the keycard from the supply office.`
`0x43003d88`; `Press  <SB 1074266160> to return to Darwin.`
`0x43003d89`; `Brightness`
`0x43003d8a`; `Terminal POWER SOURCE REQUIRED`
`0x43003d8b`; `Press  <SB 1074266118> re-center the camera.`
`0x43003d8c`; `Three different weapons can be assigned for quick access while playing.`
`0x43003d8d`; `To assign a weapon hold down <SB 1074266143>, <SB 1074266144> or <SB 1074266145> until the weapon assignment menu appears.`
`0x43003d8e`; `Select a weapon using <SB 1074266194> and then release the weapon button to assign it.`
`0x43003d8f`; `The NanoHacker can be used to temporarily convert a vulnerable enemy into your ally.`
`0x43003d90`; `Hold <SB 1074266153> while aiming the NanoHacker at an enemy until the hack is complete.`
`0x43003d91`; `Hold <SB 1074266153> while aiming the NanoHacker at an enemy then shake the Nunchuk until the hack is complete.`
`0x43003d92`; `Save stations can be used to save your progress.`
`0x43003d93`; `Stand close and hold <SB 1074266115> to use a save station.`
`0x43003d94`; `Vending kiosks can be used to buy maps, ammunition and health as well as new weapons and upgrades.`
`0x43003d95`; `Stand close and hold <SB 1074266115> to use a vending kiosk.`
`0x43003d96`; `New weapons and upgrades will only become available at kiosks once a gold or silver data disk has been found.`
`0x43003d97`; `Mooch can temporarily disable green lasers by shooting the emitter with the interference beam.`
`0x43003d98`; `The green lasers are linked to the security system. Crossing them will draw attention to you and activate security measures in that area.`
`0x43003d99`; `Lure the motion sensor laser into shooting the door but be careful to avoid the laser once it turns red.`
`0x43003d9a`; `The sound wave attack from the speakers is preventing you from progressing. You must obtain the speaker blueprints to get past. `
`0x43003d9b`; `Being spotted by a security camera can alert enemies in the area as well as seal doors. The camera’s security light will change colour when alerted, try to avoid them when possible.`
`0x43003d9c`; `Use the vortex from the ceiling fan to get over the fence.`
`0x43003d9d`; `Hold  <SB 1074266113> to hover out of the vortex and over the fence before you are damaged by the ceiling fan.`
`0x43003d9e`; `Hold  <SB 1074266113> to hover out of the vortex before you are damaged by the ceiling fan.`
`0x43003d9f`; `The Grapple can be used to pull you toward Saberlized speaker units.`
`0x43003da0`; `Equip the Grapple and aim at the speaker unit.`
`0x43003da1`; `Hold <SB 1074266153> while aiming at the speaker unit to be pulled toward it.`
`0x43003da2`; `Once attached to the speaker you can switch freely to use other weapons.`
`0x43003da3`; `Destroy the vent with one of your weapons.`
`0x43003da4`; `Charge the jetpack while hanging from the grapple to hover through the vent.`
`0x43003da6`; `Radioactive liquid causes damage and should be avoided.`
`0x43003da7`; `The pneumatic tubing can be used to quickly transport Darwin around the facility. Stand on a control button to select a destination and then step into the tube and press <SB 1074266115>`
`0x43003dab`; `Holo-disks can be attacked and damaged by enemies so will only last for a while.`
`0x43003dac`; `Mooch can carry Holo-disks by flying close and pressing <SB 1074266123>`
`0x43003daf`; `Use the interference beam on the door switch to exit the conference room and return to Darwin with the keycard.`
`0x43003db1`; `Shoot the temperature control switch to toggle the hot and cold gates.`
`0x43003db2`; `The Satellite Dishes are protecting the Torch with their shields. You must destroy the dishes before you can damage the Torch.`
`0x43003db3`; `Torch missiles can pass through shields – try attracting the missiles toward the satellite barriers.`
`0x43003db4`; `You must attract one of the Torch missiles to hit the satellite dish and bring down the shields. Once all the satellite dishes are destroyed the Torch will be vulnerable.`
`0x43003db5`; `The shields protecting the Torch are down – the Torch is now vulnerable.`
`0x43003db7`; `Use the jetpack to jump up and grab the handle to open the chute.`
`0x43003db8`; `Hit the elevator call button to let Blaster out.`
`0x43003dc8`; `Shoot the three weak spots in quick succession to blow up a cooling rod. To disable the cooling system all individual cooling units must be destroyed.`
`0x43003dc9`; `Security turrets are activated by triggering security lasers. Activated turrets can be temporarily disabled using Mooch’s interference beam or destroyed using other weapons.`
`0x43003dca`; `Use a Saberlized Fire Extinguisher to melt the ice and get up through the vent.`
`0x43003dcb`; `Use a Holo-disk to distract the Satellite Dish.`
`0x43003dcc`; `Restore Power To The Door`
`0x43003dcd`; `Restore power to the door and get to the factory offices.`
`0x43003dce`; `Restore Power to the Elevator`
`0x43003dcf`; `Use a Power Core to restore power to the delivery elevator and get to the factory offices.`
`0x43003dd0`; `This is better than bowling!`
`0x43003dd1`; `Now that was a thing of beauty.`
`0x43003dd2`; `If I keep doing that... we might just pull this mission off!`
`0x43003dd3`; `Nice. Three down... but how many more to go!`
`0x43003dd4`; `Whoa... did you guys catch that?`
`0x43003dd5`; `That's the way to rack up the numbers!`
`0x43003dd6`; `Oh... could use some more hits like that!`
`0x43003dd7`; `There we go!`
`0x43003dd8`; `Just gotta keep doing this...`
`0x43003dd9`; `They didn't see that coming.`
`0x43003dda`; `You wanted it... you got it!`
`0x43003ddb`; `Had enough?`
`0x43003ddc`; `How you like me in your face?`
`0x43003ddd`; `Want more? That can be arranged.`
`0x43003dde`; `And the hits keep coming!`
`0x43003ddf`; `Now that was pretty!`
`0x43003de0`; `Oh, did that ever look good.`
`0x43003de1`; `I do think I have the 'magic touch' with this whip.`
`0x43003de2`; `Just look at that! Good, hm?`
`0x43003de3`; `Oh, it didn't see that coming!`
`0x43003de4`; `There we go, one, two... and WHAM!`
`0x43003de5`; `Blaster, you catching my whip action? Eat your heart out. `
